Time per algorithm: 
Selection, Bubble, Insert, Merge
2.986 , 5.86 , 4.329 , 0.011
3.489 , 5.532 , 2.28 , 0.012
2.907 , 6.247 , 2.023 , 0.013
2.598 , 3.753 , 1.353 , 0.02
1.983 , 4.518 , 2.26 , 0.019
3.632 , 3.986 , 1.336 , 0.022
2.973 , 4.372 , 1.61 , 0.022
2.258 , 3.758 , 1.206 , 0.012
1.816 , 4.275 , 1.5 , 0.015
1.554 , 5.545 , 2.123 , 0.009
4.5 , 7.603 , 2.07 , 0.029
6.197 , 3.282 , 1.063 , 0.014
1.476 , 3.033 , 1.181 , 0.009
1.64 , 2.903 , 0.892 , 0.009
1.337 , 2.876 , 0.96 , 0.014
1.526 , 2.494 , 0.9 , 0.009
1.337 , 2.777 , 0.896 , 0.027
1.543 , 2.374 , 0.892 , 0
1.231 , 2.762 , 0.914 , 0.009
1.564 , 2.552 , 0.997 , 0.008
Average: 
2.42735 , 4.0251 , 1.53925 , 0.01415
Standard deviation: 
1.27712 , 1.46482 , 0.825161 , 0.00710282
